appid;name;Precios
1383152;;
2423670;Let's bounce! Popsicle boy!;
2423710;Eldritchvania;
2423730;Corpse Master;ARS$ 400,00
2423770;AUDSDG;ARS$ 400,00
2423780;Strategy game but with a penguin who has a sword;
2423830;Multiplayer Turtles;ARS$ 82,00
2423860;Flock Party;
2423940;Broken Minds;ARS$ 249,00
2423960;Lord of the Click: Interstellar Wars;ARS$ 475,00
2424010;Parcel Simulator;
2424050;R4YL (Run For Your Life!);
2423100;Terrierble Logic;
2423130;Gun and Girl;ARS$ 82,00
2423140;They're Not Monsters;
2423270;Pilo;
2423320;Homicipher: Prologue;
2423470;Suicide Guy: The Lost Dreams;
2423480;Pussy Cum with me;ARS$ 400,00
2423530;Untamed Tactics: The Beginning;
2422610;Love Love Candy;
2422710;Disasters Escape: The Island;
2422720;Blackout Memphis;
2422770;Twinkle Twinkle Little Star;
2422810;Phantom Dwarf;
2422830;DefleMask;ARS$ 2.500,00
2422850;The Unknown;
2422990;Weather Dominance;
2423000;Fenrir's fury;ARS$ 320,00
2423050;Root Of Win;
2423070;Speakeasy;
2422100;The Divine Speaker 2020-2021 Art Collection;ARS$ 550,00
2422130;Chicken Cluck Cluck!;
2422150;Speedway Challenge 2023;ARS$ 835,00
2422180;IT Clicker;
2422340;Haunted Legends: The Call of Despair Collector's Edition;ARS$ 1.000,00
2422540;Burning Branch;ARS$ 765,00
2422560;Stack-Making Neighbors;
2422570;The Wine Hunt: Aim Fidelity;
2422590;Ezerath's Last Hope;ARS$ 165,00
2421620;PsyQik;ARS$ 82,00
2421640;Retro Rocket Raiders;ARS$ 396,50
2421650;狄拉克之海;
2421800;Lewd Puzzle [18+];ARS$ 1.120,00
2421830;Vroom Vroom Valley;
2421850;Velocity Vortex;
2421880;3 Hit Blunders Bundle;ARS$ 900,00
2421910;Ratyrinth;
2421950;The Guardian of Nature;
2422040;808cc;
2422050;SiideQuest;
2422080;Legendary Hoplite: Ajax’s Trial;
2422090;Treasure Chest Clicker;ARS$ 320,00
2421150;De'Vot;
2421190;Setheria: A Quest for Moonaris;
2421240;Mutantity;
2421250;IZIO : The Pixel Kishi;
2421370;Cryptis;
2421390;Talker Tales;
2421430;War For Galaxy;
2421440;Chronicles of Vaeltaja: In Search of the Great Wanderer;
2421450;Backrooms Versus ;
2421560;Wolf Souls;ARS$ 700,00
2420660;Neva;
2420690;ATNRPG;
2420700;Creej's Corruption;
2420750;FlyBye;
