appid;name;Precios
2353520;Elemental Fury;
2353570;LN OF Zombies;
2353640;Virus Infinite;
2353690;BUSHIDO : Drift and Race;
2353760;Landfall Archives;
2442050;Edmund And Eliza;
2442080;Camping;
2442140;CellQuest;
2442170;Top Jump;
2442230;Brave Nine;
2441490;Call of Waifu : Warzone;
2441500;Kid Bubblegum;
2441570;Train Capacity 300%;
2441580;Hexaduel;
2441590;Arknights: Release;
2441600;"Phantom Liberty: Quadra ""Vigilante"" Pre-Order Bonus";
2441610;Debug Quest;
2441630;The Necromancer Cometh!;
2441700;UNDERDOGS;
2441080;Godsvivors;
2441100;Unrooted;
2441160;ORM;
2441180;Felonian Special Forces;
2441200;Trauma Squad;
2441240;The cake adventure;
2441250;风起苍岚;
2441270;Kill The Crows;
2441310;Haunted Memories: The Return;
2440500;HeroSquare;
2440510;Forza Motorsport;
2440580;Xero;
2440590;AR3NA;
2440620;Rocococo ~ Audiogame Fantastiqué;
2440710;Surface Runner;
2440730;Snoody: One of the Ayrie;
2440790;DUOnline Server;
2440970;飞仙诀;
2440980;BL00D.exe;
2440180;Minilife: Tournament;
2440200;AURA: Hentai Cards;
2440240;Escape Simulator VR;
2440280;Sqwrk;
2440310;Bot Crafter;
2440380;Dicelike;
2440400;LOVE girls;
2439760;要来点百合吗 Love Yuri;
2439790;Crystal Void;
2439810;The Adventures of Nerdstan;
2440010;Twilight Memoria : Freedoom;
2440030;Crownless Abyss;
2440060;Rush On;
2440100;Quintus and the Formidable Curse;
2439310;Midnight Dreams;
2439380;Blobbers;
2439450;Hentai Senpai: Cosmic Beauties;
2439490;三国志威力无双;
2439500;Overhours;
2439580;Hawaii Detective: Killing of a Krypto King;
2439620;Nun and Light's Unreachable Forest;
2439670;Munchie Strikers;
2439700;Multitales;
2438760;EOS-503;
2438790;Once Upon a Slime;
2438900;Get Slapped;
2438950;Karen The Chicken;
2439020;Hotel Simulation;
2438230;桌球大比拼;
2438270;LandFall: Survival Pvp Skirmish;
2438290;Hanctt Origins;
2438330;Pale Coins;
2438340;Elemental Odyssey;
2438410;The World of Nifty Craft;
2438490;FireRun逃生門;
2438520;Nemurimouto;
2438540;Sci-fi builder;
2438570;Hearth's Pantheon;
2438630;Apocalypse Blitz;
2438680;Airborne Empire;
2437710;蜀境传说;
2437740;Bloba's Adventure;
2437750;Paradise Lust 2;
2437870;Abyssmare;
2437890;The Pulse of Evil;
2437910;Reformpunk;
2437940;Crossroads Inn 2;
2437980;Ball Bash;
2438010;Samurai Beat;
2438060;ProtoCorgiStreamerVersion;
2438090;A Void Hope;
2438110;Medical Shift;
2438180;Doggy Don't Care;
2437310;Onslaught;
2437330;Novus Orbis;
2437490;Reaper's Isle;
2437510;BTD:BTD;
2437550;Elidriel;
2437560;Phantom of Zana;
2437570;Chambers;
2437660;Astrominer;
2437680;Grand Escape;
2437690;Zoo Park Story;
2436970;Wild City;
2437000;Astra Hunter Zosma;
2437110;Append;
2437150;Paint Fiesta;
2437160;Taste of victory;
2436410;Asfalia: Fear;
2436420;天书江湖;
2436450;RBS OSC SuiminSystem;
2436480;坦克世界：铁甲风暴;
2436580;Spell Hell;
2436590;T10X Simulator;
2436730;London Cab;
2436750;BaroKart;
2436870;Wanderer's Sigil;
2435920;Heaven's Paws;
2435930;Eventide;
2435940;Suzerain: Support the Developers & Vulpitzer Award;
2436030;Mitrapunk;
2436130;Polyroll Pocket;
2436160;Europa One;
2436180;Sunset Moon;
2436240;Gobbo's Gambit;
2436280;Bung Ball;
2435450;Azoove;
2435470;Fightcore Forge;
2435510;Trow's Space;
2435520;Avalanca;
2435680;Magma Fever;
2435880;Akatsuki Zero;
2435040;Freedom is Piracy;
2435060;ItsJustAStory;
2435200;Oblation;
2435230;Space Mutants;
2435240;Sulphur Memories: Alchemist;
2435280;Arlo's Ascension;
2435310;Stunt Paradise;
2435320;Terra Toy;
2435360;Escape Stories: Virtual Reality;
2434490;Queen of Moths;
2434570;TAG: Tower Attack Game;
2434600;ShantyTown;
2434620;Super Words;
2434720;Maces and Dices;
2434740;Revenant Hill;
2434760;StarOS;
2434870;Splatterpus;
2434000;The Puppeteer;
2434090;Death Roads: Tournament Prologue;
2434110;Arctic 51;
2434130;Jesus Uncrossed;
2434160;Office Is My Harem🔞;
2434260;Pinpoint;
2434290;Box Dungeons;
2434330;Welcome To Mars 9;
2434380;Breach: Chicago War Zone;
2434400;Ghost Simulator;
2434440;King Of Silence;
2434450;Skystrider;
2433500;Cosmic Persecution;
2433560;Beer and Plunder;
2433600;BID WAR: AUCTION SIMULATOR STORAGE HUNTER;
2433610;SUBWAY SIMULATOR: UNDERGROUND TRAIN RIDE;
2433620;Sky Runners Infinite: Parkour;
2433680;Survivor;
2433730;Unsorted Horror;
2433810;Celente Immortal;
2433820;SUPRACORE;
2433860;The Shaman's Ark;
2433940;Fall from Space;
2433960;Snow Fortress 2;
2433230;Reel Life;
2433370;Jungle Gems VR;
2433460;腾起之蛇：现世;
2433480;The Mystery of Cargo Ship 1769;
2432660;Clan monsters;
2432670;Sex Coach: Hot Yoga;
2432900;Aggregate Core;
2432940;Nuke Them All;
2433010;Small Nights;
2432230;Glitter Justice;
2432300;Leatherneck;
2432310;Connect Lyrical Spectacle Forest;
2432450;INVICTA: The Next Queen;
2432510;VECTER ASSAULT;
2432530;Revamped;
2432580;Chasm Bound;
2432600;Martial Arts Tycoon: Brazil;
2431790;Cyber Paradise;
2431820;Secret Shuffle;
2431830;The Dark Climb;
2431840;Cannibal Tales;
2431850;Bumper Arena;
2431960;擱淺地 Dream Antique;
2431980;Goblin Camp;
2432040;ネジ込みシミュレーターTMA02;
2432090;Eagle Eye: Find the Difference;
2432100;ONE.;
2432130;The Soul Box – Don Quixotes of Tomorrow;
2431310;ANYU;
2431320;CatAclism;
2431330;Galactic Grinder;
2431360;末日校园;
2431370;Cube Clash;
2431390;MagicArchitect;
2431420;The Paper Arcade: Singing Sparrow;
2431421;The Paper Arcade: Kingdom Kitty;
2431500;EXORCIST MAIDEN: RESURRECTED ...(Interlude);
2431510;BlueSuburbia;
2431580;RIP: Ridiculously Injury Prone;
2431610;ikuzo;
2431650;Captain Buttface;
2430800;Laser Survivor;
2430810;Roll the Dark Heart;
2430830;Strongblade;
2430870;BREACH;
2430900;Among Ashes;
2430910;Unknown FPV: FPV Drone Simulator;
2431030;Spicier Than Sugar!;
2431090;FISHGUN;
2431140;Pegdrop Hearts;
2431260;Ad Victoriam;
2430280;Who Did It?;
2430310;Mighty Marbles;
2430320;Ashes To Ashes;
2430360;Code of War Gun Shooting Games;
2430390;DYSPLACED;
2430470;Vilde;
2430500;Delven;
2430510;Pyramid Curse;
2430540;Radix Chronicle;
2430580;ASTROSMASH;
2430660;MiceGard;
2430680;Hope is Gone;
2430690;幸运草的约定;
2430700;Love X Crotch X GYM;
2430740;Heretic’s Fork: Probation;
2430760;Ananse and the Pot of Wisdom;
2429860;Living With Sister: Monochrome Fantasy;
2429870;Quarta Amethyst;
2429930;Power Network Tycoon;
2429970;翔太の毕业季;
2430010;Gennady;
2430080;The Struggle to Survive the Dragon Siege;
2430100;神曲;
2430200;Hot Girls Delivery Club;
2430220;CATASS;
2429340;Valley of The Savage Run;
2429380;淤積的祈禱;
2429440;Store Story;
2429480;Gotchaball;
2429540;The Dark Times of the Noble Family of Wildren;
2429590;Caislean: Paranormal;
2429600;Herdles;
2429630;AI.Cybercraft;
2429710;神经联结(Neural Nexus);
2429760;Johnny Rocketfingers Complete Game Collection!;
2428920;Painted Peril;
2428980;Bye Sweet Carole;
2429000;Liona's Adventure;
2429090;GardenBuddies;
2429100;Homestar Runner: Halloween Hide N' Seek;
2429160;Doughbee;
2429230;Megabat;
2429240;Soulslinger: Envoy of Death;
2429250;Rags to Liches;
2429260;Daycare Descent;
2429270;The RPG;
2429280;Rune Song;
2429290;Ultimate Ragdoll Game SDK;
2429310;Noxious Weeds;
2428370;Ponk's Jam: The Tulip Thief;
2428390;Eternal: Judgement;
2428410;Light of Coco;
2428420;Umbraclaw;
2428490;Swimsuit Samurai;
2428510;仙路争锋-GM畅玩版;
2428520;Quest for Gold;
2428600;マスカレード・キス～危険な駆け引き～;
2428680;Infernal Apocalypse;
2428730;Tactical Squad – SWAT Stories: First Shot;
2428780;The last stand at Camp Zombie;
2428800;Nom Nom: Cozy Forest Café;
2427910;Neonscape;
2427950;Decimate Drive;
2427960;Calcium Contract;
2427980;Monterona;
2428020;The Abyss Within;
2428100;Opposyte;
2428140;Tachyonest;
2428190;黄昏之城（Town of Dusk）;
2428200;Third Defender;
2428230;Overlode;
2428250;侠客春秋 试玩版;
2428260;Butterfly//Circuit;
2428310;Sky Escort;
2427550;Moonlight Knight;
2427560;致命解药 测试版;
2427610;Fruit 66;
2427660;Ruins and Refuge;
2427790;Goldilock One: The Mists of Jakaíra;
2427810;垂钓日记 The Sailor's Guide to Game Design;
2427820;LongStory 2;
2427840;Vulpis;
2427850;Project Apparition;
2427050;Munch;
2427070;Schrott;
2427100;Cafe Master Story;
2427130;The Girl Who Kicked a Rabbit;
2427170;Thea 2: Rat Tales & More;
2427270;Echoes of the Forgotten;
2427280;Block Tower: Prologue;
2427320;Santa's Monster Shootout;
2427450;Flick Shot Rogues;
2427460;Tattoos and Tulips;
2426590;Unsheltered;
2426640;Kobold Castle;
2426780;puzzle thing;
2426840;DRAGOT;
2426890;小拾逅 Gathering Our Childhoods;
2426990;Mathness;
2427000;3D PrintMaster Simulator;
2426070;Vecro;
2426220;Math Ascension;
2426230;Wake Up;
2426250;Halls of Watershot;
2426290;Land of Honey and Wine;
2426380;Pact of Joy: Prologue;
2426460;Meteor Down!;
2426500;2 Minutes 16 Seconds;
2426520;Dead city: Defense;
2426530;Nova Roma;
2425620;The Alpine Express;
2425680;The Witch In The Woods;
2425850;Otto Roof;
2425920;GanaBlade;
2426000;Morganica;
2425110;Party Game Collection;
2425130;Hack/ed;
2425160;Protect the Planet;
2425190;隐流传说;
2425200;星のハルカ;
2425280;Zombreak: The Last Escape;
2425290;Project Third Eye;
2425320;Blind Bullet;
2425360;Datura Time;
2425380;我和妹子的爱恨情仇;
2425420;Starlights;
2425460;Starfuse;
2425480;Dead Shapes;
2424680;Capybara Supremacy!;
2424710;Mayhems World;
2424730;TLO: Casmita;
2424830;篮球经理模拟器;
2424880;Cosmic Coliseum: Prologue;
2424910;Red Ops: The First Infection;
2424270;Something Wicked Lies Beneath;
2424450;Circuit Breakout: Dual Polarity;
2424470;SpeedRunnerZ;
2388010;Drone Operator Guerilla Warfare;
2388020;Invasion: Family Ties;
2388030;LogiGolf;
2388110;Murder Cases;
2388140;A Shadow of Time;
2388170;Don Duality: Initiation;
2388190;Rite As Rain;
2388200;Cattle Hyperdrive;
2388250;Uprising: Humanum;
2388360;(val)iant: or, val's guide to having a broken vag;
2388420;Steam Punks;
2388440;Battlecore Robots;
2387670;As One We Survive;
2387700;Settle Gliese;
2387740;Light of Atlantis;
2387770;Pens: The Freeware Collection;
2387140;Lazy Zombie Princess;
2387210;Mirage;
2387270;Frenemies;
2387280;Operation Space Force;
2387300;绝尘;
2387350;Nebula's Descent;
2387430;Sky The Scraper;
2387450;杀戮深渊;
2387470;Elevator project;
2387510;《大侦探：超脑侦探(潜入篇)-上篇-》;
2387520;Erophone:Re-New World;
2386710;Everlasting Abundance;
2386720;STRAFTAT;
2386770;Hardlight;
2386800;Space Order Mine;
2386910;Starshapes;
2386920;Cast Out Colony;
2386930;Nature is hungry;
2386970;Bifröst: Through the Realms;
2387100;Derpy Dino;
2387110;Green Reaper;
2386240;LUS: Last Unit Standing;
2386310;Ultros;
2386350;Marauder of Dystopia: The weakest go to the wall;
2386370;Last Life;
2386380;The Mighty Claw;
2386400;Road Dealer Simulator;
2386420;MOMOinc;
2386560;Carnage Cuisine;
2386580;Project Hardline;
2386590;Dwarfender;
2386610;Wandering Skies;
2386620;Das verrückte Labyrinth;
2386070;反弹枪 Rebound Gun;
2386090;Reincarnation;
2386160;Skeleton Hotel;
2385550;Underground22;
2385590;Telluria: Forebodings;
2385610;AdrenaLyn;
2385630;Clawed Cult;
2385660;The City of Fury;
2385680;Cordelia;
2385690;Shanghai1920-XZ;
2385780;BoxR;
2385810;Little World;
2385910;X Dead Detective;
2385120;Wild Mutation;
2385140;Personal Trainer;
2385190;Precision of insight;
2385240;Towerspell;
2385390;Metaart;
2385450;uCaptain2: World of Fishing;
2385480;Active and Operational;
2385490;Unfortunate Tales of Violet;
2384680;Little Ghosthunter;
2384710;Midline '85;
2384860;Capitals Quizzer;
2384890;Get Out Joey !;
2384290;吞食魏蜀吳;
2384300;Duck Hunt VR;
2384360;Ultranova;
2384440;Game Master Module;
2384470;Blood Pivot;
2384510;CloneZWars;
2384570;永恒战歌;
2383780;Treasure hunter;
2383810;MONOPOLY MADNESS Ubisoft Activation;
2383860;Octodad (Student Edition);
2383870;Fate of New Albans;
2383960;Shroom Siege;
2383970;Your World VR;
2384130;Shell of a King;
2384140;Luminous Skies: A Short Adventure;
2383310;The Shadow's Terror;
2383360;Paradise Sex;
2383413;For Honor – Year 7 Season 2 Battle Bundle Ubisoft Activation;
2383450;REThink Life;
2383520;Ziggy's Labyrinth;
2383530;廃病院探索;
2383620;Jolly Roger;
2383650;Queen of Dark;
2383700;Fursona Festival;
2383020;全民街篮;
2383080;Create Your Own Universe;
2383120;Garten of Banban 4;
2383180;Radiant: Guardians of Light;
2383240;Ecumene Aztec;
2382570;Xenosis;
2382580;A Game Called Paako;
2382610;Machine Heart;
2382630;Crash Course Builder;
2382640;Death Requiem;
2382660;The Flying Feathers;
2382700;Rhythm Lust Girl;
2382810;Dream Channel Zero;
2382910;Game of Thrones 亚太;
2382920;Munchy Mammals;
2382040;HellCat 2: The Riot Inferno;
2382230;The Egg;
2382240;Awita: The Journey of Hope;
