appid;name;Precios
2423730;Corpse Master;ARS$ 400,00
2423770;AUDSDG;ARS$ 400,00
2423830;Multiplayer Turtles;ARS$ 82,00
2423940;Broken Minds;ARS$ 249,00
2423960;Lord of the Click: Interstellar Wars;ARS$ 475,00
2423130;Gun and Girl;ARS$ 82,00
2423480;Pussy Cum with me;ARS$ 400,00
2422830;DefleMask;ARS$ 2.500,00
2423000;Fenrir's fury;ARS$ 320,00
2422100;The Divine Speaker 2020-2021 Art Collection;ARS$ 550,00
2422150;Speedway Challenge 2023;ARS$ 835,00
2422340;Haunted Legends: The Call of Despair Collector's Edition;ARS$ 1.000,00
2422540;Burning Branch;ARS$ 765,00
2422590;Ezerath's Last Hope;ARS$ 165,00
2421620;PsyQik;ARS$ 82,00
2421640;Retro Rocket Raiders;ARS$ 396,50
2421800;Lewd Puzzle [18+];ARS$ 1.120,00
2421880;3 Hit Blunders Bundle;ARS$ 900,00
2422090;Treasure Chest Clicker;ARS$ 320,00
2421560;Wolf Souls;ARS$ 700,00
2420870;Roober;ARS$ 82,00
2420930;Heroes of Spyria;ARS$ 400,00
2420960;Enchantment Secret Hideaway;ARS$ 550,00
2420970;Classified: Death in the Alley;ARS$ 550,00
2420980;Cleanup Project;ARS$ 400,00
2420990;Ancient Wonders: Pharaoh's Tomb;ARS$ 550,00
2421110;Animal Kostume;ARS$ 320,00
2420220;No Legs? No Problem!;ARS$ 320,00
2420230;Multiplayer Military;ARS$ 57,40
2420390;CODA;ARS$ 343,89
2420450;Abandoned Void;ARS$ 192,00
2419830;Balls and Coins;ARS$ 82,00
2419870;Where is Mr Cloud;ARS$ 249,00
2419880;Honey Are You There?;ARS$ 249,00
2420050;Butterflies;ARS$ 970,00
2419360;Music Summoner;ARS$ 1.680,00
2419370;Universal Flight Simulator;ARS$ 765,00
2419380;Ghost Maze;ARS$ 82,00
2419400;汉武大帝传-奖励;ARS$ 1.342,19
2419430;ZOMBIAX EVIL;ARS$ 550,00
2418820;August Walk;ARS$ 82,00
2418890;Docking Ships;ARS$ 165,00
2418940;Reconnecting;ARS$ 400,00
2418980;Puffer Pop;ARS$ 249,00
2419080;临界幸存者：八房台机密档案;ARS$ 261,00
2419220;Gnome;ARS$ 700,00
2418380;Finding Fate;ARS$ 400,00
2418550;My Hypnotized Family;ARS$ 650,25
2418720;Tap Craft;ARS$ 765,00
2417840;Isekaimaid;ARS$ 700,00
2418020;弈人寻梦;ARS$ 82,00
2418080;Easy Tile Mapper;ARS$ 1.050,00
2418170;CUBOY;ARS$ 165,00
2417340;Nobody's Dilemma;ARS$ 620,00
2417510;RouRox;ARS$ 82,00
2417520;火山噴火で隕石を破壊するゲーム;ARS$ 82,00
2417650;Carrom Slam!;ARS$ 475,00
2417660;Cotton Tale;ARS$ 249,00
2417700;The Malice Kingdom;ARS$ 165,00
2416890;Eclipse Survivors;ARS$ 249,00
2416920;Groob;ARS$ 132,00
2417060;Dojo Assault;ARS$ 82,00
2417090;Memoryland Prelude;ARS$ 620,00
2417240;The Isolated Town;ARS$ 765,00
2417250;Mr.T Survival;ARS$ 765,00
2417300;Sybil is Haunted;ARS$ 165,00
2416310;Fatal Twelve Memorial Illustration Book;ARS$ 1.400,00
2416370;Cruel Reality: A horrible dream;ARS$ 165,00
2416460;Unknown Memoirs: The Rental;ARS$ 82,00
2416550;Morrok;ARS$ 970,00
2416600;Frightence;ARS$ 320,00
2416720;Quadrium 2;ARS$ 475,00
2416740;Dark Desire Mute 5;ARS$ 400,00
2415950;Pegafuerte el terrible;ARS$ 24,60
2415960;Femboy Aim Trainer;ARS$ 82,00
2415980;Dream Job : Delivery Simulator;ARS$ 765,00
2416000;Blind Fishes;ARS$ 82,00
2416250;Chronautical;ARS$ 400,00
2416260;Sujeto 124: El hombre de traje;ARS$ 170,00
2415390;$pooples;ARS$ 320,00
2415430;DRAFTYCAR;ARS$ 550,00
2415450;FIGHT FOR YOUR RESURRECTION VR;ARS$ 320,00
2415540;The Paradixion: Son's Room;ARS$ 249,00
2415640;Cargo delivery;ARS$ 2.100,00
2415660;Raventure;ARS$ 2.100,00
2415670;Tutenstone;ARS$ 2.100,00
2415720;Welcome To... Chichester OVN Omnibus Edition;ARS$ 400,00
2415770;Flyto;ARS$ 1.400,00
2414920;No zombie land: Lucy;ARS$ 165,00
2414950;Bus Simulator 23;ARS$ 165,00
2415120;Abstract Driver;ARS$ 76,50
2415180;Cute Puzzles!!!;ARS$ 82,00
2414690;Saint Hell;ARS$ 22,96
2414800;ガチムチお兄さんのドスケベ♥特濃フェラASMR;ARS$ 765,00
2414810;VT Harmony;ARS$ 550,00
2413980;DCS: F/A-18C Flaming Sunrise Campaign by Sandman Simulations;ARS$ 2.470,67
2414210;Text Twist Classic;ARS$ 400,00
2414240;A CRAZY GUY;ARS$ 620,00
2414320;Veil of Darkness;ARS$ 765,00
2414340;Star General;ARS$ 475,00
2414350;The Summoning;ARS$ 475,00
2414360;Dark Legions;ARS$ 475,00
2413410;Kam Thunder;ARS$ 165,00
2413470;Knights of the Throne;ARS$ 765,00
2413480;Through the Mist;ARS$ 550,00
2413720;Date with Foxgirl;ARS$ 69,70
2413750;Poly Jigsaw: Dogs;ARS$ 165,00
2413820;拯救安娜行动;ARS$ 165,00
2413840;Cute Сapybaras;ARS$ 80,00
2413090;Oppai Samurai: Knocked up by a No Name Novice;ARS$ 900,00
2413230;Liminal Space;ARS$ 249,00
2413340;Ketamina;ARS$ 165,00
2396340;Their Majesties' Pleasure;ARS$ 475,00
2396350;Hentai Beach Memories;ARS$ 57,40
2396380;黑暗塔 The Dark Tower;ARS$ 82,00
2396450;Violent Selection;ARS$ 32,00
2395730;Spiral Up;ARS$ 199,00
2395790;Shark Pinball;ARS$ 249,00
2395820;Safari Pinball;ARS$ 211,65
2395940;ArchiHexago;ARS$ 249,00
2396000;Poly Jigsaw: Dinosaurs;ARS$ 165,00
2395190;UNICYCLIST;ARS$ 475,00
2395230;ForRace GT2D;ARS$ 765,00
2395260;Midnight Shift;ARS$ 166,56
2395310;Presences: Dark Awakening;ARS$ 970,00
2395370;绝境射击;ARS$ 22,96
2395380;DUCKLYTE;ARS$ 22,96
2395400;Exolotl : ZIAN;ARS$ 765,00
2395450;Re-Loaded;ARS$ 765,00
2395470;DungeonSmash;ARS$ 620,00
2395510;Racing Tanks!;ARS$ 320,00
2395580;三国吞天传 幻想姬武神战记;ARS$ 550,00
2394770;Cabin of Souls;ARS$ 400,00
2394860;Castle Clicker Screensaver;ARS$ 82,00
2394980;Mystery Case Files: The Last Resort;ARS$ 550,00
2395080;Dream of Echo;ARS$ 400,00
2394330;Adventures of Ben: Rabbit Run;ARS$ 970,00
2394450;Frozen shelter;ARS$ 199,86
2394460;The Outer Rim;ARS$ 249,00
2394590;Just Survive;ARS$ 73,80
2394600;Last Day of Zombies;ARS$ 73,80
2394610;Destroy All Zombies;ARS$ 73,80
2394630;Cursed Fables: Twisted Tower;ARS$ 550,00
2394680;Rocket Jump Frenzy;ARS$ 700,00
2393900;无限之书：侠之章 Story Of Infinity: Xia;ARS$ 427,50
2393910;RuneLight;ARS$ 400,00
2394050;Noel the Mortal Fate Season Final Part 1;ARS$ 1.494,00
2394060;Tiling Towers;ARS$ 765,00
2394110;Dickland: Tower Defense;ARS$ 22,96
2394130;Let's Make a Potion;ARS$ 82,00
